OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nudbo;meddbo;mindbo;maxdbo;devdbo;latitude;longitude
352;ITP1C050;2020;ES;IEMA;Rio Itapemirim;1;6,000000000000000;2,666667000000000;2,000000000000000;3,000000000000000;0,516398000000000;-20,918368999999998;-41,074914000000000
353;CIPO00900;2020;SP;CETESB;Ribeirão do Cipó;1;11,000000000000000;4,546364000000001;3,000000000000000;9,000000000000000;2,161399000000000;-23,871667000000002;-46,804721999999998
354;PRDCGR300;2020;BA;INEMA;Catolé Grande;1;6,000000000000000;3,333333000000000;3,000000000000000;5,000000000000000;0,816497000000000;-15,235833000000000;-40,248611000000004
355;81120000;2020;PR;Águas Paraná;Rio Piedade;1;6,000000000000000;2,000000000000000;2,000000000000000;2,000000000000000;0,000000000000000;-25,341792999999999;-49,184367999999999
356;64362000;2020;PR;Águas Paraná;Rio das Cinzas;1;6,000000000000000;2,000000000000000;2,000000000000000;2,000000000000000;0,000000000000000;-23,350000000000001;-50,149999999999999
357;74779000;2020;RS;FEPAM;Rio Amandaú;1;5,000000000000000;1,800000000000000;1,000000000000000;3,000000000000000;0,836660000000000;-27,814699999999998;-54,916979999999995
358;GO8496I10;2020;GO;SEMAD-GO;RIO DOS BOIS;1;2,000000000000000;2,500000000000000;2,500000000000000;2,500000000000000;0,000000000000000;-17,052457999999998;-48,554386999999998
359;RD053;2020;MG;IGAM;Rio Doce;1;23,000000000000000;2,004348000000000;2,000000000000000;2,100000000000000;0,020851000000000;-18,974670000000000;-41,646940000000001
360;81135000;2020;PR;Águas Paraná;Rio Ribeira do Iguape;1;6,000000000000000;2,000000000000000;2,000000000000000;2,000000000000000;0,000000000000000;-25,341792999999999;-49,184367999999999
361;BMAN02250;2020;SP;CETESB;Braço do Rio Barra Mansa;2;5,000000000000000;3,000000000000000;2,000000000000000;5,000000000000000;1,414214000000000;-21,231700000000000;-49,528900000000000
362;SF023;2020;MG;IGAM;Rio São Francisco (SF);1;8,000000000000000;2,000000000000000;2,000000000000000;2,000000000000000;0,000000000000000;-16,859719999999999;-44,915170000000003
