OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuecoli;medecoli;minecoli;maxecoli;devecoli;latitude;longitude
705;RJPE001;2020;ES;AGERH;Rio Braço Norte Direito;1;6,000000000000000;28689,466666669999540;1,800000000000000;160000,000000000000000;64423,798619040004269;-20,419314000000000;-41,037838999999998
706;RMA2C001;2020;ES;IEMA;Rio Timbuí;1;5,000000000000000;2898,000000000000000;490,000000000000000;9200,000000000000000;3589,849579019999965;-19,932046000000000;-40,630392000000001
707;RMA2C005;2020;ES;IEMA;Rio Timbuí;1;5,000000000000000;13880,000000000000000;5400,000000000000000;16000,000000000000000;4740,464112300000124;-19,932644000000000;-40,587277000000000
708;RMA2C010;2020;ES;IEMA;Rio Reis Magos;1;5,000000000000000;3711,559999999999945;1,800000000000000;9200,000000000000000;5010,333897860000434;-19,934069000000001;-40,415053000000000
709;RMA2D015;2020;ES;IEMA;Rio Fundão;1;5,000000000000000;5032,000000000000000;40,000000000000000;16000,000000000000000;6535,573425489999863;-19,942432000000000;-40,405681999999999
710;RNS1C005;2020;ES;IEMA;Rio Novo;1;5,000000000000000;267,360000000000014;1,800000000000000;940,000000000000000;399,224683610000000;-20,889952000000001;-40,899903999999999
711;RNS1C010;2020;ES;IEMA;Rio Novo;1;5,000000000000000;585,360000000000014;1,800000000000000;1300,000000000000000;553,849391079999918;-20,853059000000002;-40,939056000000001
712;RNS1C015;2020;ES;AGERH;Rio Novo;1;6,000000000000000;62116,666666669996630;3500,000000000000000;170000,000000000000000;63236,078836900000169;-20,704691999999998;-41,018739000000004
713;RPM2C015;2020;ES;IEMA;Rio Piúma;1;5,000000000000000;3284,360000000000127;1,800000000000000;16000,000000000000000;7109,462887450000380;-20,840774999999997;-40,745041999999998
714;RSJ1C001;2020;ES;AGERH;Rio São José;1;6,000000000000000;5016,666666669999358;230,000000000000000;17000,000000000000000;6774,123313510000116;-18,986908000000000;-40,760086000000001
715;RSJ1C002;2020;ES;AGERH;Rio São José;1;6,000000000000000;1221,666666670000041;45,000000000000000;5400,000000000000000;2099,915871330000300;-19,043983000000001;-40,540919000000002
716;RSJ1C003;2020;ES;IEMA;Rio São José;1;6,000000000000000;13545,000000000000000;490,000000000000000;54000,000000000000000;21506,055658810000750;-19,056508000000001;-40,520744000000001
717;RSJ2C004;2020;ES;AGERH;Rio São José;1;4,000000000000000;190,750000000000000;93,000000000000000;400,000000000000000;140,957144790000001;-19,401800000000001;-40,070799999999998
718;SMT1D020;2020;ES;IEMA;Rio São Mateus;1;5,000000000000000;6758,000000000000000;790,000000000000000;9200,000000000000000;3719,922042189999956;-18,709171999999999;-39,877781999999996
719;SMT1D025;2020;ES;IEMA;Rio São Mateus;1;5,000000000000000;5278,000000000000000;700,000000000000000;16000,000000000000000;6309,470659259999593;-18,711676000000001;-39,854170000000003
720;SMT2C010;2020;ES;AGERH;Rio São Mateus;1;5,000000000000000;1557,000000000000000;45,000000000000000;3500,000000000000000;1483,271721569999954;-18,701056000000001;-40,235610999999999
721;SMT2C015;2020;ES;IEMA;Rio São Mateus;1;5,000000000000000;1002,000000000000000;220,000000000000000;1700,000000000000000;620,177393979999920;-18,574008000000003;-40,277177999999999
722;SMT2D005;2020;ES;IEMA;Rio São Mateus;1;5,000000000000000;2170,000000000000000;20,000000000000000;5400,000000000000000;2280,833181099999820;-18,726392999999998;-40,335556000000004
723;SMV1C001;2020;ES;IEMA;Rio Santa Maria da Vitória;1;6,000000000000000;6746,966666669999540;1,800000000000000;35000,000000000000000;13897,961347140000726;-20,051842000000001;-40,764208000000004
724;SMV1C003;2020;ES;IEMA;Rio Santa Maria da Vitória;1;6,000000000000000;19865,299999999999272;1,800000000000000;92000,000000000000000;36551,707042760004697;-20,038108999999999;-40,729681999999997
725;SMV1C007;2020;ES;IEMA;Rio Santa Maria da Vitória;1;6,000000000000000;6693,300000000000182;1,800000000000000;35000,000000000000000;14001,683455209999011;-20,095594000000002;-40,539951000000002
726;SMV1C020;2020;ES;IEMA;Rio Santa Maria da Vitória;1;6,000000000000000;5556,966666669999540;1,800000000000000;28000,000000000000000;11061,831060300000900;-20,185284999999997;-40,385562000000000
727;SMV1D015;2020;ES;IEMA;Rio Santa Maria da Vitória;1;6,000000000000000;46321,666666669996630;170,000000000000000;160000,000000000000000;65857,673331710000639;-20,101332999999997;-40,517778000000000
728;GO6468I3;2020;GO;SEMARH;PARAIM;1;2,000000000000000;135,599999999999994;135,599999999999994;135,599999999999994;0,000000000000000;-14,788119999999999;-47,208669999999998
729;GO6468I5;2020;GO;SEMARH;PARANÃ;1;2,000000000000000;35,000000000000000;35,000000000000000;35,000000000000000;0,000000000000000;-14,456680000000000;-47,045759999999994
730;GO6469I1;2020;GO;SEMAD-GO;RIO PARANA;1;2,000000000000000;461,000000000000000;461,000000000000000;461,000000000000000;0,000000000000000;-15,297162000000000;-47,392559999999996
731;GO648I14;2020;GO;SEMARH;RIO MARANHÃO;1;4,000000000000000;241,675000000000011;71,400000000000006;686,700000000000045;297,088430999999957;-15,124471999999999;-48,261944000000000
732;GO648I2;2020;GO;SEMARH;RIO MARANHÃO;1;2,000000000000000;2420,000000000000000;2420,000000000000000;2420,000000000000000;0,000000000000000;-14,979111000000001;-48,675417000000003
