OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuod;medod;minod;maxod;devod;latitude;longitude
1482;SC12;2020;MG;IGAM;Ribeirão Areias ou Ribeirão das Areias;1;8,000000000000000;8,037500000000000;6,600000000000000;10,000000000000000;1,058216000000000;-19,810109999999998;-44,036220000000000
1483;SC13;2020;MG;IGAM;Ribeirão Areias ou Ribeirão das Areias;1;8,000000000000000;6,162500000000000;4,100000000000000;7,600000000000000;1,136332000000000;-19,807109999999998;-44,031279999999995
1484;SC14;2020;MG;IGAM;Ribeirão Poderoso;1;8,000000000000000;6,187500000000000;4,600000000000000;7,600000000000000;1,161818000000000;-19,779890000000002;-43,907139999999998
1485;SC16;2020;MG;IGAM;Rio das Velhas;1;8,000000000000000;3,850000000000000;1,900000000000000;6,200000000000000;1,276155000000000;-19,715639999999997;-43,824419999999996
1486;SC17;2020;MG;IGAM;Ribeirão da Mata;1;8,000000000000000;4,950000000000000;3,300000000000000;6,800000000000000;1,229402000000000;-19,692970000000003;-43,913890000000002
1487;SC19;2020;MG;IGAM;Ribeirão das Neves;1;8,000000000000000;4,587500000000000;3,000000000000000;6,200000000000000;1,116676000000000;-19,665469999999999;-44,054470000000002
1488;SC21;2020;MG;IGAM;Ribeirão da Mata;1;8,000000000000000;6,537500000000000;5,800000000000000;7,700000000000000;0,557898000000000;-19,639329999999998;-44,013190000000002
1489;SC22;2020;MG;IGAM;Ribeirão da Mata;1;8,000000000000000;6,312500000000000;3,700000000000000;8,100000000000000;1,469147000000000;-19,579860000000000;-44,075969999999998
1490;SC23;2020;MG;IGAM;Ribeirão da Mata;1;8,000000000000000;5,137500000000000;2,800000000000000;7,500000000000000;1,548213000000000;-19,602829999999997;-44,058560000000000
1491;SC24;2020;MG;IGAM;Ribeirão Jequitibá;1;8,000000000000000;5,112500000000000;2,000000000000000;6,700000000000000;1,412634000000000;-19,468250000000001;-44,170279999999998
1492;SC25;2020;MG;IGAM;Córrego do Diogo;1;8,000000000000000;4,700000000000000;2,500000000000000;7,800000000000000;2,397022000000000;-19,466220000000000;-44,238250000000001
1493;SC26;2020;MG;IGAM;Ribeirão do Matadouro;1;8,000000000000000;2,687500000000000;1,800000000000000;3,900000000000000;0,786380000000000;-19,446439999999999;-44,207750000000004
1494;SC27;2020;MG;IGAM;Ribeirão do Chiqueiro;1;8,000000000000000;7,662500000000000;6,200000000000000;8,600000000000000;0,772635000000000;-18,439810000000001;-43,748530000000002
1495;SC28;2020;MG;IGAM;Ribeirão do Chiqueiro;1;8,000000000000000;7,287500000000000;6,200000000000000;8,199999999999999;0,775403000000000;-18,506750000000000;-43,750030000000002
1496;SC30;2020;MG;IGAM;Rio Paraúna;1;8,000000000000000;8,137499999999999;5,500000000000000;10,100000000000000;1,386607000000000;-18,631139999999998;-44,062919999999998
1497;SC33;2020;MG;IGAM;Rio Curumataí;1;7,000000000000000;7,285714000000000;6,100000000000000;8,500000000000000;0,794625000000000;-18,100220000000000;-44,311059999999998
