OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nuturb;medturb;minturb;maxturb;devturb;latitude;longitude
2351;74459000;2020;RS;FEPAM;Rio Turvo;1;5,000000000000000;23,000000000000000;11,800000000000001;37,399999999999999;11,583825000000001;-27,821700000000000;-53,725000000000001
2352;74480000;2020;RS;FEPAM;Rio Turvo;1;5,000000000000000;28,675999999999998;4,000000000000000;64,500000000000000;30,393250000000002;-27,291390000000000;-53,971939999999996
2353;74505000;2020;RS;FEPAM;Arroio Lageado Grande;1;5,000000000000000;12,092000000000001;6,100000000000000;15,400000000000000;3,612329000000000;-27,445969000000002;-54,084690999999999
2354;74611000;2020;RS;FEPAM;Rio Burica;1;5,000000000000000;17,716000000000001;8,100000000000000;29,770000000000000;10,543644000000000;-27,521670000000000;-54,231670000000001
2355;74630000;2020;RS;FEPAM;Rio Santa Rosa;1;5,000000000000000;15,228000000000000;8,699999999999999;23,280000000000001;5,591200000000000;-28,046150000000001;-54,085400000000000
2356;74699000;2020;RS;FEPAM;Rio Santa Rosa;1;5,000000000000000;25,379999999999999;11,000000000000000;44,049999999999997;13,509006000000001;-27,676700000000000;-54,465000000000003
2357;74751000;2020;RS;FEPAM;Rio Santo Cristo;1;4,000000000000000;22,962499999999999;15,400000000000000;31,250000000000000;8,536527000000000;-27,840277999999998;-54,555833000000000
2358;74779000;2020;RS;FEPAM;Rio Amandaú;1;5,000000000000000;78,221999999999994;8,250000000000000;286,300000000000011;117,428182000000007;-27,814699999999998;-54,916979999999995
2359;74860000;2020;RS;FEPAM;Rio Comandaí;1;5,000000000000000;57,000000000000000;13,900000000000000;141,199999999999989;52,002307999999999;-28,138850000000001;-54,559880000000000
2360;74899000;2020;RS;FEPAM;Rio Comandaí;1;5,000000000000000;67,463999999999999;14,119999999999999;129,000000000000000;47,074615999999999;-28,000769999999999;-54,864010000000000
2361;74910000;2020;RS;FEPAM;Rio Comandaí;1;5,000000000000000;54,670000000000002;8,230000000000000;87,400000000000006;32,789093999999999;-27,879230000000000;-55,055162000000003
2362;76110000;2020;RS;FEPAM;Rio Toropi;1;4,000000000000000;11,762499999999999;9,400000000000000;14,600000000000000;2,391072000000000;-29,665761000000000;-54,472355000000000
2363;76111000;2020;RS;FEPAM;Rio Ibicui;1;4,000000000000000;16,157499999999999;13,550000000000001;21,500000000000000;3,610433000000000;-29,836628000000001;-54,798273000000002
2364;76111100;2020;RS;FEPAM;Rio Ibicui;1;4,000000000000000;29,930000000000000;18,600000000000001;47,770000000000003;13,046145999999998;-29,683803000000001;-55,192123000000002
2365;76149000;2020;RS;FEPAM;Rio Itu;1;4,000000000000000;11,977499999999999;5,380000000000000;17,129999999999999;5,525676000000000;-29,198577000000000;-55,477888000000000
2366;76150000;2020;RS;FEPAM;Arroio Ibirocai Mirim;1;4,000000000000000;21,847500000000000;12,730000000000000;28,199999999999999;6,895686000000000;-29,467795000000002;-56,475319999999996
2367;76220000;2020;RS;FEPAM;Rio Santa Maria;1;5,000000000000000;22,128000000000000;3,330000000000000;40,240000000000002;14,547487000000000;-31,136677000000002;-54,378202000000002
2368;76250500;2020;RS;FEPAM;Rio Santa Maria;1;5,000000000000000;35,445999999999998;19,500000000000000;64,319999999999993;19,871839000000001;-30,974332999999998;-54,687128999999999
2369;76257000;2020;RS;FEPAM;Rio Taquarembozinho;1;5,000000000000000;12,526000000000000;3,450000000000000;23,699999999999999;7,661271000000000;-30,973192999999998;-54,439729000000000
2370;76285000;2020;RS;FEPAM;RIO IBICUÍ DA FAXINA;1;5,000000000000000;46,866000000000000;10,430000000000000;170,710000000000008;69,403521999999995;-30,792076000000002;-55,209240000000001
2371;76289000;2020;RS;FEPAM;RIO IBICUÍ DA ARMADA;1;5,000000000000000;37,357999999999997;14,180000000000000;75,189999999999998;25,746592000000000;-30,508336000000000;-55,052708000000003
2372;76299200;2020;RS;FEPAM;Arroio Vacaquá;1;5,000000000000000;30,058000000000000;17,100000000000001;38,609999999999999;8,846842000000001;-30,446963999999998;-55,053457000000002
2373;76305000;2020;RS;FEPAM;Rio Santa Maria;1;4,000000000000000;39,784999999999997;14,740000000000000;82,200000000000003;29,729686000000001;-30,262862999999999;-54,883443000000000
2374;76371000;2020;RS;FEPAM;Rio Cacequi;1;5,000000000000000;72,781999999999996;13,170000000000000;243,870000000000005;96,367661999999996;-30,107281999999998;-54,635390000000001
2375;76379000;2020;RS;FEPAM;Rio Santa Maria;1;3,000000000000000;58,293333000000004;28,210000000000001;111,769999999999996;46,432794999999999;-29,943140000000000;-54,932145999999996
2376;76410000;2020;RS;FEPAM;Arroio Saicã;1;5,000000000000000;23,398000000000000;8,090000000000000;58,329999999999998;20,116260999999998;-30,129086000000001;-55,246944999999997
2377;76431990;2020;RS;FEPAM;Rio Jaguari;1;4,000000000000000;8,560000000000000;2,840000000000000;13,800000000000001;4,509664000000000;-29,495671999999999;-54,674627000000001
2378;76560010;2020;RS;FEPAM;Rio Ibicui;1;4,000000000000000;26,337499999999999;14,230000000000000;39,520000000000003;12,146709999999999;-29,597000000000001;-55,478999999999999
2379;76700001;2020;RS;FEPAM;Rio Ibirapuita;1;4,000000000000000;20,327500000000001;10,609999999999999;29,300000000000001;7,670139000000000;-29,973554000000000;-55,748066999999999
2380;76748970;2020;RS;FEPAM;Arroio Cavera;1;4,000000000000000;13,657500000000001;7,580000000000000;18,300000000000001;5,370589000000000;-29,819298999999997;-55,770813000000004
2381;76748980;2020;RS;FEPAM;Rio Ibirapuita;1;4,000000000000000;21,642499999999998;8,330000000000000;32,899999999999999;10,284280000000001;-29,803500000000000;-55,781999999999996
2382;76750100;2020;RS;FEPAM;Rio Ibirapuita;1;4,000000000000000;20,417500000000000;8,109999999999999;30,300000000000001;9,301048000000000;-29,771788999999998;-55,793312000000000
2383;76800005;2020;RS;FEPAM;Rio Ibicui;1;4,000000000000000;22,250000000000000;13,289999999999999;31,300000000000001;9,118482999999999;-29,309999999999999;-56,052999999999997
2384;76980005;2020;RS;FEPAM;Rio Ibicui;1;4,000000000000000;20,577500000000001;8,650000000000000;28,500000000000000;9,392623000000000;-29,404043000000001;-56,681079999999994
2385;77149990;2020;RS;FEPAM;Rio Uruguai;1;4,000000000000000;25,655000000000001;16,949999999999999;37,000000000000000;9,047197000000001;-29,775800000000000;-57,138500000000001
2386;77470000;2020;RS;FEPAM;Rio Sarandi;1;5,000000000000000;6,188000000000000;0,850000000000000;15,300000000000001;5,881111000000000;-30,631578999999999;-56,180641999999999
2387;77495000;2020;RS;FEPAM;Arroio Areal;1;5,000000000000000;18,765999999999998;6,800000000000000;37,799999999999997;11,892016999999999;-30,451919000000000;-56,302664000000000
2388;77499000;2020;RS;FEPAM;Rio Quarai;1;5,000000000000000;20,698000000000000;8,199999999999999;31,300000000000001;8,748144000000002;-30,392181000000001;-56,455336000000003
2389;77519800;2020;RS;FEPAM;Arroio Garupa;1;5,000000000000000;10,162000000000001;2,850000000000000;22,100000000000001;7,338884000000000;-30,120652000000000;-56,422276999999994
2390;77591000;2020;RS;FEPAM;Rio Quarai;1;5,000000000000000;22,065999999999999;6,700000000000000;40,299999999999997;13,116019999999999;-30,210722999999998;-57,558069000000003
2391;79100000;2020;RS;FEPAM;Arroio Baje;1;5,000000000000000;16,786000000000001;6,900000000000000;33,299999999999997;10,302061999999999;-31,376111000000002;-54,097851999999996
2392;79210000;2020;RS;FEPAM;Rio Negro;1;5,000000000000000;40,503999999999998;19,300000000000001;69,299999999999997;20,337577999999997;-31,476270999999997;-54,138761000000002
2393;79430000;2020;RS;FEPAM;Arroio Pirai;1;5,000000000000000;22,367999999999999;10,800000000000001;31,199999999999999;8,735787000000000;-31,256568999999999;-54,328217000000002
2394;79440000;2020;RS;FEPAM;Rio Negro;1;4,000000000000000;21,567499999999999;17,699999999999999;25,100000000000001;3,190751000000000;-31,651924000000001;-54,436104000000000
2395;85001500;2020;RS;FEPAM;Rio Jacui Mirim;1;3,000000000000000;18,260000000000002;5,080000000000000;25,000000000000000;11,415200000000000;-28,564525000000000;-52,547986999999999
2396;85068000;2020;RS;FEPAM;Rio da Gloria;1;3,000000000000000;15,140000000000001;8,600000000000000;22,899999999999999;7,227641000000000;-28,485208999999998;-52,685159999999996
2397;85080010;2020;RS;FEPAM;Informação não disponível;1;3,000000000000000;18,329999999999998;5,390000000000000;32,000000000000000;13,320011000000001;-28,720167000000000;-52,849611000000003
2398;85140010;2020;RS;FEPAM;Rio Jacui Mirim;1;3,000000000000000;19,206667000000003;7,420000000000000;34,000000000000000;13,542678000000000;-28,749738000000001;-52,988413999999999
2399;85161020;2020;RS;FEPAM;Arroio Grande;1;3,000000000000000;31,066667000000002;13,000000000000000;44,200000000000003;16,174464999999998;-28,644236000000003;-53,037402999999998
2400;85379990;2020;RS;FEPAM;Rio Jacuizinho;1;3,000000000000000;10,986666999999999;7,500000000000000;16,660000000000000;4,956060000000001;-29,214027999999999;-53,104892999999997
