OBJECTID;cdestacao;ano;sguf;entidade;corpodagua;ambiente;nup;medp;minp;maxp;devp;latitude;longitude
1742;64771500;2020;PR;Águas Paraná;Rio Piquiri;1;6,000000000000000;0,034500000000000;0,005000000000000;0,094000000000000;0,031195000000000;-24,866099999999999;-52,762799999999999
1743;64773000;2020;PR;Águas Paraná;Informação não disponível;1;6,000000000000000;0,052000000000000;0,009000000000000;0,140000000000000;0,051680000000000;-24,783056000000002;-52,233055999999998
1744;64775000;2020;PR;Águas Paraná;Rio Cantu;1;6,000000000000000;0,041167000000000;0,006000000000000;0,130000000000000;0,045578000000000;-24,748600000000000;-52,702800000000003
1745;64776100;2020;PR;ANA;Rio Piquiri;1;6,000000000000000;0,026667000000000;0,012000000000000;0,065000000000000;0,019305000000000;-24,750000000000000;-52,880000000000003
1746;64785000;2020;PR;Águas Paraná;Rio Goio Bango ou Tricolor;1;6,000000000000000;0,052333000000000;0,034000000000000;0,070000000000000;0,013292000000000;-24,616700000000002;-52,933100000000003
1747;64790000;2020;PR;ANA;Rio Sapucaí;1;6,000000000000000;0,045167000000000;0,025000000000000;0,069000000000000;0,016570000000000;-24,629999999999999;-53,100000000000001
1748;64795000;2020;PR;Águas Paraná;Rio Piquiri;1;6,000000000000000;0,031500000000000;0,024000000000000;0,043000000000000;0,008313000000000;-24,516700000000000;-53,166699999999999
1749;64799500;2020;PR;Águas Paraná;Rio Piquiri;1;6,000000000000000;0,031500000000000;0,019000000000000;0,051000000000000;0,011203000000000;-24,404199999999999;-53,157499999999999
1750;64802000;2020;PR;IAT;Ribeirão Água;1;6,000000000000000;0,021000000000000;0,013000000000000;0,036000000000000;0,008050000000000;-24,153186999999999;-53,059731999999997
1751;64810000;2020;PR;Águas Paraná;GOIO ERE & FAROL;1;6,000000000000000;0,078333000000000;0,048000000000000;0,170000000000000;0,045588000000000;-23,916667000000000;-53,133056000000003
1752;64815000;2020;PR;Águas Paraná;GOIO ERE & FAROL;1;6,000000000000000;0,171167000000000;0,046000000000000;0,720000000000000;0,269984000000000;-24,133056000000000;-53,316667000000002
1753;64820000;2020;PR;Águas Paraná;RIO PIQUIRI;1;6,000000000000000;0,034500000000000;0,026000000000000;0,049000000000000;0,009138000000000;-24,199999999999999;-53,333300000000001
1754;64830000;2020;PR;Águas Paraná;Rio Piquiri;1;6,000000000000000;0,044500000000000;0,024000000000000;0,076000000000000;0,019305000000000;-24,188056000000000;-53,746110999999999
1755;64831500;2020;PR;ANA;Rio São Camilo;1;6,000000000000000;0,068167000000000;0,039000000000000;0,091000000000000;0,018616000000000;-24,303222000000002;-53,899527000000006
1756;64833000;2020;PR;Águas Paraná;Rio Xambrê;1;6,000000000000000;0,033167000000000;0,023000000000000;0,048000000000000;0,011339000000000;-23,971388999999999;-53,750000000000000
1757;64843000;2020;PR;Águas Paraná;Rio Paraná;1;6,000000000000000;0,042833000000000;0,026000000000000;0,086000000000000;0,022587000000000;-24,066667000000002;-54,250000000000000
1758;64849000;2020;PR;Águas Paraná;Arroio Guaçu;1;6,000000000000000;0,146667000000000;0,110000000000000;0,240000000000000;0,050465000000000;-24,390000000000001;-54,140000000000001
1759;64863520;2020;PR;Águas Paraná;Rio Toledo;1;6,000000000000000;0,746667000000000;0,210000000000000;2,000000000000000;0,674853000000000;-24,754722000000001;-53,774166999999998
1760;64875501;2020;PR;IAP;RIO SÃO FRANCISCO VERDADEIRO;1;6,000000000000000;0,074833000000000;0,059000000000000;0,093000000000000;0,010926000000000;-24,743400000000001;-54,096600000000002
1761;64897500;2020;PR;Águas Paraná;Rio Alegria;1;6,000000000000000;0,038667000000000;0,007000000000000;0,092000000000000;0,031156000000000;-25,290800000000001;-54,079700000000003
1762;64898100;2020;PR;IAP;RIO DAS FLORES;1;6,000000000000000;0,056500000000000;0,027000000000000;0,099000000000000;0,028268000000000;-25,135897000000000;-54,312204999999999
1763;64925100;2020;PR;Águas Paraná;Rio Paraná;1;6,000000000000000;0,022333000000000;0,012000000000000;0,030000000000000;0,008140000000000;-25,550000000000001;-54,583100000000002
1764;65001000;2020;PR;Águas Paraná;Rio Pequeno;1;6,000000000000000;0,471667000000000;0,170000000000000;1,000000000000000;0,317453000000000;-25,371306000000001;-49,086081999999998
1765;65001500;2020;PR;IAT;Rio Iraí;1;2,000000000000000;0,053000000000000;0,052000000000000;0,054000000000000;0,001414000000000;-25,425288000000002;-49,106564999999996
1766;65003950;2020;PR;Águas Paraná;Rio Iraí;1;6,000000000000000;0,120000000000000;0,058000000000000;0,200000000000000;0,053681000000000;-25,440946999999998;-49,118486000000004
1767;65004995;2020;PR;Águas Paraná;Rio Piraquara;1;6,000000000000000;0,160000000000000;0,014000000000000;0,840000000000000;0,333198000000000;-25,450585000000000;-49,121353999999997
1768;65006040;2020;PR;Águas Paraná;Rio Palmital;1;6,000000000000000;0,088000000000000;0,013000000000000;0,190000000000000;0,070134000000000;-25,321998000000001;-49,162216000000001
1769;65006075;2020;PR;Águas Paraná;Rio Iraí;1;6,000000000000000;0,668333000000000;0,220000000000000;2,000000000000000;0,661224000000000;-25,454003000000000;-49,171541000000005
1770;65007046;2020;PR;Águas Paraná;Rio Atuba;1;5,000000000000000;0,655400000000000;0,003000000000000;2,000000000000000;0,833520000000000;-25,446818000000000;-49,197908999999996
1771;65009000;2020;PR;Águas Paraná;Rio Iguacu;1;6,000000000000000;1,431667000000000;0,350000000000000;4,000000000000000;1,381570000000000;-25,483440999999999;-49,189417999999996
1772;65010000;2020;PR;Águas Paraná;Rio Pequeno;1;6,000000000000000;0,072500000000000;0,043000000000000;0,120000000000000;0,031602000000000;-25,519196000000001;-49,146845999999996
1773;65015400;2020;PR;Águas Paraná;Rio Miringuava Mirim;1;6,000000000000000;0,235667000000000;0,074000000000000;0,420000000000000;0,139458000000000;-25,589333000000000;-49,228639000000001
1774;65017006;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;1,048333000000000;0,460000000000000;2,000000000000000;0,746657000000000;-25,599166000000000;-49,260987000000000
1775;65017035;2020;PR;Águas Paraná;Rio Despique;1;6,000000000000000;0,075167000000000;0,051000000000000;0,130000000000000;0,030023000000000;-25,645643000000003;-49,257664999999996
1776;65019400;2020;PR;Águas Paraná;Rio Mauricio;1;6,000000000000000;0,061333000000000;0,046000000000000;0,076000000000000;0,010930000000000;-25,720667000000002;-49,317361000000005
1777;65019700;2020;PR;Águas Paraná;Rio Barigui;1;6,000000000000000;1,776667000000000;0,660000000000000;3,000000000000000;0,836222000000000;-25,613847000000000;-49,356898999999999
1778;65019980;2020;PR;Águas Paraná;Rio Iguaçu;1;6,000000000000000;0,850000000000000;0,310000000000000;2,000000000000000;0,631189000000000;-25,600459000000001;-49,398047000000005
1779;65020995;2020;PR;Águas Paraná;Rio Passauna;1;6,000000000000000;0,046667000000000;0,024000000000000;0,090000000000000;0,023678000000000;-25,346171999999999;-49,340893999999999
1780;65021770;2020;PR;Águas Paraná;Rio Cachoeirinha;1;6,000000000000000;0,084833000000000;0,038000000000000;0,160000000000000;0,059237000000000;-25,416983999999999;-49,384916000000004
1781;65021800;2020;PR;Águas Paraná;Rio Passaúna;1;6,000000000000000;0,093667000000000;0,014000000000000;0,150000000000000;0,053493000000000;-25,426305000000003;-49,387782999999999
1782;65023000;2020;PR;Águas Paraná;Rio Passauna;1;2,000000000000000;0,600000000000000;0,550000000000000;0,650000000000000;0,070711000000000;-25,533003000000001;-49,393561000000005
